大话西游之月光宝盒,西遊記第壹佰零壹回之月光寶盒,1995,9.0,1069315,['旷古烁今。'],https://movie.douban.com/subject/1299398/
天空之城,天空の城ラピュタ,1986,9.1,722955,['对天空的追逐，永不停止。 '],https://movie.douban.com/subject/1291583/
天堂电影院,Nuovo Cinema Paradiso,1988,9.2,598640,['那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。'],https://movie.douban.com/subject/1291828/
猫鼠游戏,Catch Me If You Can,2002,9.1,812068,['骗子大师和执著警探的你追我跑故事。 '],https://movie.douban.com/subject/1305487/
闻香识女人,Scent of a Woman,1992,9.1,751795,['史上最美的探戈。'],https://movie.douban.com/subject/1298624/
指环王2：双塔奇兵,The Lord of the Rings: The Two Towers,2002,9.2,648296,['承前启后的史诗篇章。'],https://movie.douban.com/subject/1291572/
罗马假日,Roman Holiday,1953,9.1,841550,['爱情哪怕只有一天。'],https://movie.douban.com/subject/1293839/
钢琴家,The Pianist,2002,9.2,501770,['音乐能化解仇恨。'],https://movie.douban.com/subject/1296736/
让子弹飞,让子弹飞一会儿  /  火烧云,2010,8.9,1439070,['你给我翻译翻译，神马叫做TMD的惊喜。'],https://movie.douban.com/subject/3742360/
指环王1：护戒使者,The Lord of the Rings: The Fellowship of the Ring,2001,9.1,734899,['传说的开始。'],https://movie.douban.com/subject/1291571/
辩护人,변호인,2013,9.2,521697,['电影的现实意义大过电影本身。'],https://movie.douban.com/subject/21937445/
大闹天宫,大闹天宫 上下集  /  The Monkey King,1961,9.4,365302,['经典之作，历久弥新。'],https://movie.douban.com/subject/1418019/
教父2,The Godfather: Part Ⅱ,1974,9.2,463157,['优雅的孤独。'],https://movie.douban.com/subject/1299131/
黑客帝国,The Matrix,1999,9.1,715352,['视觉革命。'],https://movie.douban.com/subject/1291843/
狮子王,The Lion King,1994,9.1,721138,['动物版《哈姆雷特》。'],https://movie.douban.com/subject/1301753/
死亡诗社,Dead Poets Society,1989,9.1,607279,['当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。'],https://movie.douban.com/subject/1291548/
海蒂和爷爷,Heidi,2015,9.3,434218,['如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。'],https://movie.douban.com/subject/25958717/
搏击俱乐部,Fight Club,1999,9.0,735895,['邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。'],https://movie.douban.com/subject/1292000/
绿皮书,Green Book,2018,8.9,1370999,['去除成见，需要勇气。'],https://movie.douban.com/subject/27060077/
饮食男女,飲食男女,1994,9.1,521641,['人生不能像做菜，把所有的料都准备好了才下锅。'],https://movie.douban.com/subject/1291818/
美丽心灵,A Beautiful Mind,2001,9.0,662931,['爱是一切逻辑和原由。'],https://movie.douban.com/subject/1306029/
窃听风暴,Das Leben der Anderen,2006,9.2,487429,['别样人生。'],https://movie.douban.com/subject/1900841/
本杰明·巴顿奇事,The Curious Case of Benjamin Button,2008,9.0,856027,['在时间之河里感受溺水之苦。'],https://movie.douban.com/subject/1485260/
情书,Love Letter,1995,8.9,908486,['暗恋的极致。'],https://movie.douban.com/subject/1292220/
