桔子,自贡市 ,￥3.00每斤,2022-01-23
梨,石家庄市 ,￥1.20每斤,2022-01-23
砂糖橘,百色市 ,￥1.30每斤,2022-01-22
苹果,阿克苏地区 ,￥3.50每斤,2022-01-22
桔子,成都市 ,￥2.50每斤,2022-01-22
香蕉,玉林市 ,￥7.00每斤,2022-01-22
香蕉,玉林市 ,￥7.00每斤,2022-01-21
桔子,眉山市 ,￥2.00每斤,2022-01-21
红提,咸阳市 ,￥28.00每公斤,2022-01-20
橙子,崇左市 ,￥2.00每斤,2022-01-20
西瓜,德宏傣族景颇族自治州 ,￥2.00每斤,2022-01-20
砂糖橘,来宾市 ,￥1.80每斤,2022-01-19
红富士苹果,聊城市 ,￥0.80每斤,2022-01-19
芒果,三亚市 ,￥90.00每箱,2022-01-18
橙子,重庆 ,￥1.50每斤,2022-01-18
砂糖橘,成都市 ,￥2.80每斤,2022-01-17
柚子,黔东南苗族侗族自治州 ,￥2.70每斤,2022-01-16
桔子,重庆 ,￥2.50每斤,2022-01-16
冰糖橙,重庆 ,￥2.50每斤,2022-01-16
其他,运城市 ,￥1.00每棵,2022-02-15
其他,玉林市 ,￥0.80每斤,2022-02-15
砂糖橘,崇左市 ,￥1.80每斤,2022-02-15
桔子,张家界市 ,￥0.70每斤,2022-02-15
桔子,内江市 ,￥2.50每斤,2022-02-15
柿子,运城市 ,￥2.00每斤,2022-02-14
美国香瓜,长春市 ,￥1.00每吨,2022-02-14
砂糖橘,桂林市 ,￥2.00每斤,2022-02-13
桔子,云浮市 ,￥1.80每斤,2022-02-13
龙眼,玉林市 ,￥7.00每斤,2022-02-13
油桃,玉林市 ,￥8.00每斤,2022-02-13
西瓜,唐山市 ,￥1.00每斤,2022-02-12
柚子,保山市 ,￥15.00每斤,2022-02-12
红富士苹果,聊城市 ,￥0.60每斤,2022-02-12
杏子,运城市 ,￥8.00每棵,2022-02-11
其他,上海 ,￥1.00每斤,2022-02-11
其他,运城市 ,￥3.00每棵,2022-02-11
菠萝,昌江黎族自治县 ,￥2.50每斤,2022-02-10
其他,聊城市 ,￥5.00每斤,2022-02-10
其他,运城市 ,￥0.50每棵,2022-02-10
苹果,聊城市 ,￥1.20每斤,2022-02-10
砂糖橘,贺州市 ,￥2.50每斤,2022-02-10
其他,南宁市 ,￥1.50每斤,2022-02-09
桔子,南宁市 ,￥165.00每箱,2022-02-09
橙子,重庆 ,￥0.50每斤,2021-12-14
砂糖橘,贺州市 ,￥5.50每斤,2021-12-13
橙子,重庆 ,￥4.00每斤,2021-12-13
草莓,青岛市 ,￥20.00每斤,2021-12-12
砂糖橘,玉林市 ,￥2.10每斤,2021-12-12
橙子,重庆 ,￥4.00每斤,2021-12-12
草莓,济宁市 ,￥26.00每斤,2021-12-11
橙子,资阳市 ,￥1.60每斤,2021-12-11
桔子,宁波市 ,￥15.00每斤,2021-12-11
橙子,红河哈尼族彝族自治州 ,￥4.00每斤,2021-12-11
橙子,重庆 ,￥1.50每斤,2021-12-10
桔子,桂林市 ,￥2.60每斤,2021-12-10
橙子,重庆 ,￥4.80每斤,2021-12-10
桔子,桂林市 ,￥1.30每斤,2021-12-09
橙子,重庆 ,￥2.22每斤,2021-12-09
桔子,乐山市 ,￥3.30每斤,2021-12-09
其他,宁波市 ,￥20.00每斤,2021-12-09
桔子,肇庆市 ,￥2.60每斤,2021-12-08
枣,滨州市 ,￥1.80每斤,2021-12-08
其他,韶关市 ,￥1.45每斤,2021-12-08
其他,运城市 ,￥10.00每棵,2021-12-08
砂糖橘,文山壮族苗族自治州 ,￥8.00每公斤,2021-12-07
橙子,南宁市 ,￥9.00每件,2021-12-06
橙子,宜昌市 ,￥58.00每箱,2021-12-06
橙子,资阳市 ,￥1.35每斤,2021-12-06
桔子,桂林市 ,￥3.00每斤,2021-12-06
葡萄,石家庄市 ,￥4.00每斤,2021-12-06
其他,运城市 ,￥5.00每棵,2021-12-06
其他,陵水黎族自治县 ,￥6.00每斤,2021-12-05
桔子,贺州市 ,￥2.00每斤,2021-12-05
其他,潍坊市 ,￥0.20每斤,2021-12-05
草莓,徐州市 ,￥11.00每斤,2021-12-05
桔子,南宁市 ,￥9.90每件,2021-12-05
砂糖橘,桂林市 ,￥3.30每斤,2021-12-05
砂糖橘,桂林市 ,￥1.70每斤,2021-12-04
其他,运城市 ,￥5.00每棵,2021-12-04
橙子,重庆 ,￥2.20每斤,2021-12-04
草莓,徐州市 ,￥10.00每斤,2021-12-03
桔子,眉山市 ,￥4.20每斤,2021-12-03
砂糖橘,桂林市 ,￥2.30每斤,2021-12-03
其他,运城市 ,￥18.00每棵,2021-12-03
桔子,南宁市 ,￥3.50每斤,2021-12-02
砂糖橘,桂林市 ,￥2.30每斤,2021-12-02
